"Delete Orders","Delete Orders"
"General","General"
"Delete","Delete"
"Do you really want to delete this orders?","Do you really want to delete this orders?"
"Are you sure you want to delete this order?","Are you sure you want to delete this order?"
"The order has been deleted.","The order has been deleted."
"Cannot delete the order.","Cannot delete the order."
"Cannot delete order #%1. Please try again later.","Cannot delete order #%1. Please try again later."
"A total of %1 order(s) has been deleted.","A total of %1 order(s) has been deleted."
"Automatic Delete Orders","Automatic Delete Orders"
"Schedule For","Schedule For"
"Set up the schedule in which orders are deleted automatically.","Set up the schedule in which orders are deleted automatically."
"Start Time","Start Time"
"Excluded Period","Excluded Period"
"Order Status","Order Status"
"Customer Group(s)","Customer Group(s)"
"Store View(s)","Store View(s)"
"Shipping Countries","Shipping Countries"
"Specific Country","Specific Country"
"Order Total","Order Total"
"Less than or equal this amount.","Less than or equal this amount."
"Disable","Disable"
"All Countries","All Countries"
"Specific Countries","Specific Countries"
"Delete Manually","Delete Manually"
"Are you sure want to delete order(s) match with the above conditions","Are you sure want to delete order(s) match with the above conditions"
"Success!","Success!"
"orders have been deleted.","orders have been deleted."
"The following orders cannot being deleted. %1","The following orders cannot being deleted. %1"
"No order has been deleted!","No order has been deleted!"
"Email Notification","Email Notification"
"Email can be sent only when orders are deleted automatically by schedule.","Email can be sent only when orders are deleted automatically by schedule."
"Separated by comma(s)","Separated by comma(s)"
"Sender","Sender"
"Email Template","Email Template"
"Send To","Send To"
"We can\'t save the cron expression. %1","We can\'t save the cron expression. %1"
"Could not save order log: %1","Could not save order log: %1"
"Cannot delete order log with id %1","Cannot delete order log with id %1"
"Order Delete Logs","Order Delete Logs"
"Log View","Log View"
"Log Delete","Log Delete"
"Delete record #%1?","Delete record #%1?"
"Are you sure you want to delete the record #%1?","Are you sure you want to delete the record #%1?"
"Admin User","Admin User"
"Deleted By","Deleted By"
"Deleted At","Deleted At"
"Admin user with ID "%1" does not exist.","Admin user with ID "%1" does not exist."
"Manually","Manually"
"Automation","Automation"
"The record has been deleted.","The record has been deleted."
"An error occurred while deleting: %1","An error occurred while deleting: %1"
"The record ID is missing.","The record ID is missing."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
"Customer Email","Customer Email"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Total Due","Total Due"
"Order Status","Order Status"
"Order Date","Order Date"
